"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"41",5,"Christian Kirk",JAC,"25","46","39.5","4.1","0"
"42",5,"Robert Woods",TEN,"25","54","40.9","5.9","0"
"43",5,"DeAndre Hopkins",ARI,"29","60","43.2","6.3","-4"
"44",6,"Kadarius Toney",NYG,"35","58","44.1","5.0","+3"
"45",6,"Chris Olave",NO,"35","61","45.9","5.5","+1"
"46",6,"Chase Claypool",PIT,"37","61","48.9","5.4","-2"
"47",6,"Tyler Boyd",CIN,"43","61","50.0","4.7","+4"
"48",6,"Treylon Burks",TEN,"32","68","50.4","8.8","0"
"49",6,"Russell Gage",TB,"42","74","52.2","7.3","-4"
"50",6,"Garrett Wilson",NYJ,"42","71","52.4","6.3","-1"
"51",6,"Skyy Moore",KC,"36","73","52.6","6.8","+11"
"52",6,"Jakobi Meyers",NE,"42","64","52.9","5.7","+7"
"53",6,"Marquez Valdes-Scantling",KC,"44","71","55.0","6.2","+3"
"54",6,"DeVante Parker",NE,"42","77","55.3","7.0","+6"
"55",6,"George Pickens",PIT,"40","95","55.7","11.8","-1"
"56",6,"Jarvis Landry",NO,"49","75","58.9","6.2","-6"
"57",6,"Rondale Moore",ARI,"46","71","59.2","6.3","+1"
"58",6,"DJ Chark Jr.",DET,"47","78","59.3","6.9","-3"
"59",6,"Kenny Golladay",NYG,"47","86","60.1","8.8","-7"
"60",6,"Michael Gallup",DAL,"43","93","61.8","11.0","+14"
"61",6,"Julio Jones",TB,"47","99","62.5","11.4","-4"
"62",6,"Jahan Dotson",WAS,"47","97","63.0","10.5","+8"
"63",7,"Nico Collins",HOU,"48","87","64.1","7.8","+23"
"64",7,"Corey Davis",NYJ,"55","85","68.5","7.6","+3"
"65",7,"Mecole Hardman",KC,"54","89","68.6","7.7","-12"
"66",7,"Robbie Anderson",CAR,"52","86","68.8","7.8","+7"
"67",7,"Joshua Palmer",LAC,"48","94","69.5","9.2","+5"
"68",7,"Marvin Jones Jr.",JAC,"53","90","70.4","8.8","+7"
"69",7,"K.J. Osborn",MIN,"55","88","70.0","8.3","+8"
"70",7,"Jameson Williams",DET,"60","115","75.5","12.0","-5"
"71",7,"Wan'Dale Robinson",NYG,"57","96","72.1","10.2","+10"
"72",7,"Jalen Tolbert",DAL,"47","120","69.2","15.6","-11"
"73",7,"Van Jefferson",LAR,"60","101","73.5","9.5","-4"
"74",7,"KJ Hamler",DEN,"54","97","74.5","9.6","+17"
"75",7,"Christian Watson",GB,"55","106","78.1","13.3","-9"
"76",7,"Isaiah McKenzie",BUF,"46","111","73.1","17.8","-5"
"77",7,"Jamison Crowder",BUF,"66","108","82.8","9.5","-1"
"78",7,"Donovan Peoples-Jones",CLE,"67","91","79.4","5.0","+2"
"79",7,"Parris Campbell",IND,"62","99","80.2","8.3","+31"
